test	emit	llvm-as	opt	llc	link	run	exit	overall
01_hello	OK	OK	OK	OK	OK	OK	0	PASS
02_arithmetic	OK	OK	OK	OK	OK	OK	0	PASS
03_function	OK	OK	OK	OK	OK	OK	0	PASS
04_if_else	OK	OK	OK	OK	OK	OK	0	PASS
05_for_loop	OK	OK	OK	OK	OK	OK	0	PASS
06_struct	OK	OK	OK	OK	OK	OK	0	PASS
07_enum_match	OK	OK	OK	OK	OK	OK	0	PASS
08_list	OK	OK	OK	OK	OK	OK	0	PASS
09_string_methods	OK	OK	OK	OK	OK	OK	0	PASS
10_result	OK	OK	OK	OK	OK	OK	0	PASS
11_closure	OK	OK	OK	OK	OK	OK	0	PASS
12_while	OK	OK	OK	OK	OK	OK	0	PASS
13_fib	OK	OK	OK	OK	OK	OK	0	PASS
14_nested_struct	OK	OK	OK	OK	OK	OK	0	PASS
15_multifunction	OK	OK	OK	OK	OK	OK	0	PASS
16_string_escape	OK	OK	OK	OK	OK	OK	0	PASS
17_option	OK	OK	OK	OK	OK	OK	0	PASS
18_method_chain	OK	OK	OK	OK	OK	OK	0	PASS
19_nested_match	OK	OK	OK	OK	OK	OK	0	PASS
20_recursion	OK	OK	OK	OK	OK	OK	0	PASS
21_list_ops	OK	OK	OK	OK	OK	OK	0	PASS
22_string_builder	OK	OK	OK	OK	OK	OK	0	PASS
23_multi_return	OK	OK	OK	OK	OK	OK	0	PASS
24_enum_methods	OK	OK	OK	OK	OK	OK	0	PASS
25_fizzbuzz	OK	OK	OK	OK	OK	OK	0	PASS
26_generics	OK	OK	OK	OK	OK	OK	0	PASS
27_impl	OK	OK	OK	OK	OK	OK	0	PASS
28_traits	OK	OK	OK	OK	OK	OK	0	PASS
29_generic_impl	OK	OK	OK	OK	OK	OK	0	PASS
30_nested_generics	OK	OK	OK	OK	OK	OK	0	PASS
31_generic_multi	OK	OK	OK	OK	OK	OK	0	PASS
32_generic_enum	OK	OK	OK	OK	OK	OK	0	PASS
33_break_continue	OK	OK	OK	OK	OK	OK	0	PASS
34_file_io	OK	OK	OK	OK	OK	OK	0	PASS
35_stdin	OK	OK	OK	OK	OK	SKIP	-	SKIP_NEEDS_STDIN
36_crypto	OK	OK	OK	OK	OK	OK	0	PASS
37_regex	OK	OK	OK	OK	OK	OK	0	PASS
38_http	OK	OK	OK	OK	OK	SKIP	-	SKIP_NEEDS_NETWORK
39_gpu_detect	OK	OK	OK	OK	OK	OK	0	PASS
40_gpu_tensor	OK	OK	OK	OK	OK	OK	0	PASS
41_module_let	OK	OK	OK	OK	OK	OK	0	PASS
42_module_let_string	OK	OK	OK	OK	OK	OK	0	PASS
43_module_let_math	OK	OK	OK	OK	OK	OK	0	PASS
45_ffi_bind	OK	OK	OK	OK	OK	OK	0	PASS
47_try_operator	OK	FAIL	-	-	-	-	-	AS_ERR: llvm-as: /tmp/v4_104_integration/47_try_operator.ll:93:13: error: '%uw.11' defin
48_match_nested_exhaustive	OK	OK	OK	OK	OK	OK	0	PASS
49_match_guards	OK	OK	OK	OK	OK	OK	0	PASS
49_tensor_literal	OK	OK	OK	OK	OK	OK	0	PASS
50_match_or_patterns	OK	OK	OK	OK	OK	OK	0	PASS
50_tensor_indexing	OK	OK	OK	OK	OK	OK	0	PASS
51_match_guards_and_or	FAIL	-	-	-	-	-	-	EMIT_ERR: aborting due to 2 errors
51_tensor_broadcast	OK	OK	OK	OK	OK	OK	0	PASS
52_tensor_slicing	OK	OK	OK	OK	OK	OK	0	PASS
53_linear_regression	OK	OK	OK	OK	OK	OK	0	PASS
54_const_basic	OK	OK	OK	OK	OK	OK	0	PASS
55_async_basic	OK	OK	OK	OK	OK	OK	0	PASS
56_async_await	OK	OK	OK	OK	OK	OK	0	PASS
57_real_await	OK	OK	OK	OK	OK	OK	0	PASS
58_async_file_io	OK	OK	OK	OK	OK	OK	0	PASS
58_const_scope	OK	OK	OK	OK	OK	OK	0	PASS
59_async_fanout	OK	OK	OK	OK	OK	OK	0	PASS
62_list_output	OK	OK	OK	OK	OK	OK	0	PASS
63_else_sino	OK	OK	OK	OK	OK	OK	0	PASS
64_closure_typed	OK	OK	OK	OK	OK	OK	0	PASS
