test	exit	asan_error_kind	first_frame	class
01_hello	0	none	-	CLEAN
02_arithmetic	0	none	-	CLEAN
03_function	0	none	-	CLEAN
04_if_else	0	none	-	CLEAN
05_for_loop	0	none	-	CLEAN
06_struct	0	none	-	CLEAN
07_enum_match	0	none	-	CLEAN
08_list	0	none	-	CLEAN
09_string_methods	0	none	-	CLEAN
10_result	1	heap-use-after-free	MemcmpInterceptorCommon(void*,	ASAN_ERROR
11_closure	0	none	-	CLEAN
12_while	0	none	-	CLEAN
13_fib	0	none	-	CLEAN
14_nested_struct	0	none	-	CLEAN
15_multifunction	0	none	-	CLEAN
16_string_escape	0	none	-	CLEAN
17_option	0	none	-	CLEAN
18_method_chain	0	none	-	CLEAN
19_nested_match	1	heap-use-after-free	MemcmpInterceptorCommon(void*,	ASAN_ERROR
20_recursion	0	none	-	CLEAN
21_list_ops	0	none	-	CLEAN
22_string_builder	0	none	-	CLEAN
23_multi_return	0	none	-	CLEAN
24_enum_methods	0	none	-	CLEAN
25_fizzbuzz	0	none	-	CLEAN
26_generics	0	none	-	CLEAN
27_impl	0	none	-	CLEAN
28_traits	0	none	-	CLEAN
29_generic_impl	0	none	-	CLEAN
30_nested_generics	0	none	-	CLEAN
31_generic_multi	0	none	-	CLEAN
32_generic_enum	0	none	-	CLEAN
33_break_continue	0	none	-	CLEAN
34_file_io	0	none	-	CLEAN
35_stdin	0	none	-	CLEAN
36_crypto	0	none	-	CLEAN
37_regex	0	none	-	CLEAN
38_http	0	none	-	CLEAN
39_gpu_detect	0	none	-	CLEAN
40_gpu_tensor	0	none	-	CLEAN
41_module_let	1	heap-use-after-free	__asan_memcpy	ASAN_ERROR
42_module_let_string	1	heap-use-after-free	__asan_memcpy	ASAN_ERROR
43_module_let_math	1	heap-use-after-free	__asan_memcpy	ASAN_ERROR
45_ffi_bind	0	none	-	CLEAN
47_try_operator	1	heap-use-after-free	MemcmpInterceptorCommon(void*,	ASAN_ERROR
48_match_nested_exhaustive	1	heap-use-after-free	MemcmpInterceptorCommon(void*,	ASAN_ERROR
49_match_guards	0	none	-	CLEAN
49_tensor_literal	1	none	-	CRASH_NO_ASAN
50_match_or_patterns	0	none	-	CLEAN
50_tensor_indexing	1	none	-	CRASH_NO_ASAN
51_match_guards_and_or	0	none	-	CLEAN
51_tensor_broadcast	1	none	-	CRASH_NO_ASAN
52_tensor_slicing	1	none	-	CRASH_NO_ASAN
53_linear_regression	1	none	-	CRASH_NO_ASAN
54_const_basic	1	heap-use-after-free	__asan_memcpy	ASAN_ERROR
55_async_basic	1	none	-	CRASH_NO_ASAN
56_async_await	1	none	-	CRASH_NO_ASAN
57_real_await	1	none	-	CRASH_NO_ASAN
58_async_file_io	1	none	-	CRASH_NO_ASAN
58_const_scope	1	heap-use-after-free	__asan_memcpy	ASAN_ERROR
59_async_fanout	1	none	-	CRASH_NO_ASAN
62_list_output	0	none	-	CLEAN
63_else_sino	0	none	-	CLEAN
64_closure_typed	1	none	-	CRASH_NO_ASAN
65_list_int_indexing	0	none	-	CLEAN
