test	rc	exit_code	definitely_lost	indirectly_lost	possibly_lost	still_reachable	error_types	class
01_hello	0	0	22693	47853	0	0	none	WARNINGS_ONLY
02_arithmetic	0	0	31622	51410	0	0	none	WARNINGS_ONLY
03_function	0	0	39784	56914	0	0	none	WARNINGS_ONLY
04_if_else	0	0	36309	55015	0	0	none	WARNINGS_ONLY
05_for_loop	0	0	41258	60733	0	0	none	WARNINGS_ONLY
06_struct	0	0	37814	55268	0	0	none	WARNINGS_ONLY
07_enum_match	0	0	45052	71068	0	0	none	WARNINGS_ONLY
08_list	0	0	38210	57229	0	0	none	WARNINGS_ONLY
09_string_methods	0	0	33362	53944	0	0	none	WARNINGS_ONLY
10_result	0	0	68595	77580	0	0	none	WARNINGS_ONLY
11_closure	0	0	37285	59950	0	0	none	WARNINGS_ONLY
12_while	0	0	36283	54985	0	0	none	WARNINGS_ONLY
13_fib	0	0	43517	64190	0	0	none	WARNINGS_ONLY
14_nested_struct	0	0	37965	55299	0	0	none	WARNINGS_ONLY
15_multifunction	0	0	47507	64444	0	0	none	WARNINGS_ONLY
16_string_escape	0	0	36590	53552	0	0	none	WARNINGS_ONLY
17_option	0	0	83392	86931	0	0	none	WARNINGS_ONLY
18_method_chain	0	0	41742	60439	0	0	none	WARNINGS_ONLY
19_nested_match	0	0	68029	91634	0	0	none	WARNINGS_ONLY
20_recursion	0	0	46747	65796	0	0	none	WARNINGS_ONLY
21_list_ops	0	0	70277	86682	0	0	none	WARNINGS_ONLY
22_string_builder	0	0	56549	72207	0	0	none	WARNINGS_ONLY
23_multi_return	0	0	56662	67657	0	0	none	WARNINGS_ONLY
24_enum_methods	0	0	63000	80274	0	0	none	WARNINGS_ONLY
25_fizzbuzz	0	0	65468	76721	0	0	none	WARNINGS_ONLY
26_generics	0	0	93107	98325	0	0	none	WARNINGS_ONLY
27_impl	0	0	55329	68938	0	0	none	WARNINGS_ONLY
28_traits	0	0	62193	71115	0	0	none	WARNINGS_ONLY
29_generic_impl	0	0	66424	73412	0	0	none	WARNINGS_ONLY
30_nested_generics	0	0	61085	70017	0	0	none	WARNINGS_ONLY
31_generic_multi	0	0	89331	83624	0	0	none	WARNINGS_ONLY
32_generic_enum	0	0	43907	56070	0	0	none	WARNINGS_ONLY
33_break_continue	0	0	123735	141215	0	0	none	WARNINGS_ONLY
34_file_io	0	0	67413	77128	0	0	none	WARNINGS_ONLY
35_stdin	0	0	30483	50357	0	0	none	WARNINGS_ONLY
36_crypto	0	0	47298	62089	0	0	none	WARNINGS_ONLY
37_regex	0	0	46435	62629	0	0	none	WARNINGS_ONLY
38_http	0	0	34309	52161	0	0	none	WARNINGS_ONLY
39_gpu_detect	0	0	39054	55564	0	0	none	WARNINGS_ONLY
40_gpu_tensor	0	0	81286	91829	0	0	none	WARNINGS_ONLY
41_module_let	0	0	33399	52098	0	0	none	WARNINGS_ONLY
42_module_let_string	0	0	34361	52194	0	0	none	WARNINGS_ONLY
43_module_let_math	0	0	35841	53246	0	0	none	WARNINGS_ONLY
45_ffi_bind	0	0	53602	69282	0	0	none	WARNINGS_ONLY
47_try_operator	0	0	118554	106478	0	0	none	WARNINGS_ONLY
48_match_nested_exhaustive	0	0	97251	94801	0	0	none	WARNINGS_ONLY
49_match_guards	0	0	72991	78754	0	0	none	WARNINGS_ONLY
49_tensor_literal	1	1	148897	57097	2786	36	none	WARNINGS_ONLY
50_match_or_patterns	0	0	74232	89050	0	0	none	WARNINGS_ONLY
50_tensor_indexing	1	1	99360	48744	1399	25	none	WARNINGS_ONLY
51_match_guards_and_or	0	0	94736	90739	0	0	none	WARNINGS_ONLY
51_tensor_broadcast	1	1	118821	52738	2532	36	none	WARNINGS_ONLY
52_tensor_slicing	1	1	108688	49736	1529	33	none	WARNINGS_ONLY
53_linear_regression	1	1	45454	42786	852	27	none	WARNINGS_ONLY
54_const_basic	0	0	37594	53865	0	0	none	WARNINGS_ONLY
55_async_basic	1	1	14169	36404	763	30	none	WARNINGS_ONLY
56_async_await	1	1	17439	38384	763	30	none	WARNINGS_ONLY
57_real_await	1	1	24919	55092	762	30	none	WARNINGS_ONLY
58_async_file_io	1	1	21857	42321	765	30	none	WARNINGS_ONLY
58_const_scope	0	0	51102	65235	0	0	none	WARNINGS_ONLY
59_async_fanout	1	1	48570	69216	764	30	none	WARNINGS_ONLY
62_list_output	0	0	87713	105281	0	0	none	WARNINGS_ONLY
63_else_sino	0	0	94182	93759	0	0	none	WARNINGS_ONLY
64_closure_typed	1	1	60341	57811	811	60	none	WARNINGS_ONLY
65_list_int_indexing	0	0	65141	78013	0	0	none	WARNINGS_ONLY
66_qualified_type_ref	0	0	43923	60549	0	0	none	WARNINGS_ONLY
