test	compile_rc	run_rc	leak_count	leak_bytes	first_frame	class
01_hello	0	0	0	0	-	CLEAN
02_arithmetic	0	0	0	0	-	CLEAN
03_function	0	0	0	0	-	CLEAN
04_if_else	0	0	0	0	-	CLEAN
05_for_loop	0	0	0	0	-	CLEAN
06_struct	0	0	0	0	-	CLEAN
07_enum_match	0	-	-	-	llc	LINK_FAIL
08_list	0	0	0	0	-	CLEAN
09_string_methods	0	0	0	0	-	CLEAN
10_result	0	-	-	-	llc	LINK_FAIL
11_closure	0	0	0	0	-	CLEAN
12_while	0	0	0	0	-	CLEAN
13_fib	0	0	0	0	-	CLEAN
14_nested_struct	0	0	0	0	-	CLEAN
15_multifunction	0	0	0	0	-	CLEAN
16_string_escape	0	0	0	0	-	CLEAN
17_option	0	-	-	-	llc	LINK_FAIL
18_method_chain	0	0	0	0	-	CLEAN
19_nested_match	0	0	0	0	-	CLEAN
20_recursion	0	0	0	0	-	CLEAN
21_list_ops	0	0	0	0	-	CLEAN
22_string_builder	0	0	0	0	-	CLEAN
23_multi_return	0	0	0	0	-	CLEAN
24_enum_methods	0	0	0	0	-	CLEAN
25_fizzbuzz	0	0	0	0	-	CLEAN
26_generics	0	0	0	0	-	CLEAN
27_impl	0	0	0	0	-	CLEAN
28_traits	0	0	0	0	-	CLEAN
29_generic_impl	0	0	0	0	-	CLEAN
30_nested_generics	0	0	0	0	-	CLEAN
31_generic_multi	0	0	0	0	-	CLEAN
32_generic_enum	0	0	0	0	-	CLEAN
33_break_continue	0	0	0	0	-	CLEAN
34_file_io	0	0	0	0	-	CLEAN
35_stdin	0	0	0	0	-	CLEAN
36_crypto	0	0	0	0	-	CLEAN
37_regex	0	0	0	0	-	CLEAN
38_http	0	0	0	0	-	CLEAN
39_gpu_detect	0	0	3	49655	-	LEAK
40_gpu_tensor	0	0	3	49655	-	LEAK
41_module_let	0	0	0	0	-	CLEAN
42_module_let_string	0	0	0	0	-	CLEAN
43_module_let_math	0	0	0	0	-	CLEAN
45_ffi_bind	0	0	0	0	-	CLEAN
47_try_operator	0	-	-	-	llc	LINK_FAIL
48_match_nested_exhaustive	0	-	-	-	llc	LINK_FAIL
49_match_guards	0	-	-	-	llc	LINK_FAIL
49_tensor_literal	1	-	-	-	-	COMPILE_FAIL
50_match_or_patterns	0	0	0	0	-	CLEAN
50_tensor_indexing	1	-	-	-	-	COMPILE_FAIL
51_match_guards_and_or	0	-	-	-	llc	LINK_FAIL
51_tensor_broadcast	1	-	-	-	-	COMPILE_FAIL
52_tensor_slicing	1	-	-	-	-	COMPILE_FAIL
53_linear_regression	1	-	-	-	-	COMPILE_FAIL
54_const_basic	0	0	0	0	-	CLEAN
55_async_basic	1	-	-	-	-	COMPILE_FAIL
56_async_await	1	-	-	-	-	COMPILE_FAIL
57_real_await	1	-	-	-	-	COMPILE_FAIL
58_async_file_io	1	-	-	-	-	COMPILE_FAIL
58_const_scope	0	0	0	0	-	CLEAN
59_async_fanout	1	-	-	-	-	COMPILE_FAIL
62_list_output	0	0	0	0	__mn_str_join	CLEAN
63_else_sino	0	0	0	0	-	CLEAN
64_closure_typed	1	-	-	-	-	COMPILE_FAIL
65_list_int_indexing	0	0	0	0	-	CLEAN
66_qualified_type_ref	0	0	0	0	-	CLEAN
